øko,besid,slagtid,spacetime,y,mlik,waic,dic,dic_sat,envvar_mean,envvar_quant0.025,envvar_quant0.975,Intercept_mean,Intercept_quant0.025,Intercept_quant0.975,øko_mean,øko_quant0.025,øko_quant0.975,besid_mean,besid_quant0.025,besid_quant0.975,slagteriid_mean,slagteriid_quant0.025,slagteriid_quant0.975
true,true,true,space,soil_spring,-11844.4797991917,22818.520835192,22379.1788197239,17224.416851123,0.302279568844955,0.245617345251932,0.358956966706644,-4.0950758127859,-5.34619581740027,-3.06648233192077,0.467904715822336,0.209075318636079,0.726994050506337,2.86658611997948,2.58307971710282,3.16656298254076,0.384497689887361,0.162576312759881,0.810478810678434
false,true,false,spacetime,tavg_spring,-11844.0173601293,22819.5515465197,22261.0925773766,17106.3251777518,-0.056082227876175,-0.134933696588287,0.0238271549740336,-4.14768429664345,-4.47076034763523,-3.86053730397398,,,,3.21490651135569,2.89998244860693,3.55468321015699,,,
false,true,false,spacetime,tavg_autumn_lag1,-11842.7024186189,22824.6637664466,22267.0426172225,17112.2752214466,-0.106591173156589,-0.209975264993595,-0.00476042095345869,-4.10965482250113,-4.42660352513147,-3.8277319998092,,,,3.21829333980708,2.90306006036279,3.55851633440295,,,
true,true,false,spacetime,ppt_spring_lag1,-11841.4923912548,22826.9257674699,22271.5728602153,17116.8054640452,0.152082738320074,0.0688153084113683,0.236358083460265,-4.12792464523629,-4.43925718915788,-3.84840071234755,0.348351948513437,0.0673872690372195,0.629644956360049,3.21962741975417,2.90719046566907,3.56458649306044,,,
false,true,false,spacetime,soil_spring_lag1,-11843.5549808632,22827.206307034,22269.2965470129,17114.5291517488,-0.0930446657670431,-0.221060373631537,0.0368788369195574,-4.15352639161274,-4.47531944770082,-3.86704239248029,,,,3.21560055990653,2.89996695531603,3.5548330948626,,,
false,true,true,space,soil_spring,-11844.9015863017,22827.3269057705,22387.7958857288,17233.0339184115,0.298846247531829,0.242221287080499,0.355486287502838,-4.06415282486437,-5.31220862703228,-3.03847179456755,,,,2.87647216866361,2.59198300065996,3.17647315198848,0.38412252447992,0.158446208125716,0.813269024357025
true,true,false,spacetime,ppt_autumn_lag1,-11842.4393862302,22830.1109272404,22274.9118703266,17120.1444787998,0.138826706875811,0.0559628530535164,0.223570020159316,-4.14949423061103,-4.46337489198344,-3.86832452723584,0.348026478516119,0.0668888898811633,0.629487818237392,3.22143881233476,2.9059799080007,3.56286083658336,,,
true,true,false,spacetime,def_autumn_lag1,-11838.5995589854,22834.1629458501,22280.6501873204,17125.8828187874,-0.152008139397055,-0.220969398221613,-0.0840509600971479,-4.13029267541837,-4.43873983464274,-3.8522833535544,0.346085884345261,0.0647821709933304,0.627712538508049,3.21728819988643,2.90056618246455,3.55629857454535,,,
false,true,false,spacetime,ppt_spring_lag1,-11838.8240431192,22844.2716901102,22289.9352983571,17135.1679024697,0.152309540195955,0.0694692284129816,0.23614832724863,-4.09935094461407,-4.40609405362855,-3.82372529436865,,,,3.21757680570534,2.90426129715787,3.55996265169292,,,
false,true,false,spacetime,def_autumn_lag1,-11835.9050926678,22849.0655893874,22296.6862728197,17141.9189044538,-0.152282629342435,-0.220915826321663,-0.0846443001273916,-4.10137101408507,-4.40538173031072,-3.82726167257836,,,,3.21626190844761,2.90103227555388,3.55636390545418,,,
false,true,false,spacetime,ppt_autumn_lag1,-11839.7719723959,22849.2737113552,22295.5221881437,17140.7548196748,0.139340494698597,0.0569269815392405,0.223612813174675,-4.11991966446794,-4.42896126564911,-3.84322094924321,,,,3.21990573731525,2.9046689032616,3.56040846138094,,,
true,true,true,space,tavg_summer,-11862.2739861676,22861.8849089773,22427.0641726052,17272.3019288344,-0.166638634689037,-0.204636902428653,-0.128641883459612,-3.91283546440998,-4.84078575354309,-3.17503555607106,0.468859033630247,0.210656618570882,0.727319831932143,2.8502969531479,2.57099010750165,3.1519048007408,0.368829655392593,0.155892042734831,0.777694975800383
